"","ticker","ref.date","volume","price.open","price.high","price.low","price.close","price.adjusted","ret.adjusted.prices","ret.closing.prices"
"82","ALB",2006,152605600,19.290001,36.650002,19.415001,20.485001,16.598904,0.113928522271552,0.0767411826544022
"83","ALB",2007,227604700,36.5,47.759998,35.02,35.990002,29.961128,0.80500640283238,0.756895301103476
"84","ALB",2008,240730500,41.139999,45.790001,16.459999,40.779999,34.298313,0.144760404214421,0.133092434949017
"85","ALB",2009,189640200,22.24,37.27,15.81,23.1,19.727453,-0.424827308561794,-0.433545841921183
"86","AMP",2005,161524500,38.02,43.900002,32.389999,37.009998,28.030214,NA,NA
"87","AMP",2006,272633600,41.299999,55.299999,40.689999,42.099998,31.981441,0.140963140702386,0.137530404622016
"88","AMP",2007,376009600,54.68,66.949997,54.099998,55.220001,42.349491,0.324189582326825,0.311639040932971
"89","AMP",2008,768613600,55.18,57.119999,12.37,55.5,42.96299,0.0144865731680222,0.00507060838336448
"90","AMP",2009,936636300,23.4,39.52,13.8,24,18.900236,-0.560080990638687,-0.567567567567568
"91","AMTD",2005,1326448100,14.35,24.65,10.17,14.01,8.938406,NA,NA
"92","AMTD",2006,1704186900,24.15,26.1,13.64,24.549999,15.662946,0.752319820782363,0.752319700214133
"93","AMTD",2007,1451053900,16.23,21.15,14.7,16.66,13.801979,-0.118813344564937,-0.321384901074741
"94","AMTD",2008,1070264400,20.08,23.48,9.71,19.780001,16.386749,0.187275317546853,0.187274969987995
"95","AMTD",2009,1159435300,14.38,21.27,10.63,14.25,11.805414,-0.279575588788234,-0.279575365036635
"96","ANF",2005,512630600,47.240002,73.139999,44.360001,46.310001,32.908405,NA,NA
"97","ANF",2006,564613100,66,78.989998,50.950001,65.720001,47.181961,0.433735879937056,0.419131927896093
"98","ANF",2007,486701600,69.720001,84.510002,68.150002,71.059998,51.578255,0.0931774327904684,0.0812537571324747
"99","ANF",2008,810663400,79.639999,82.059998,14.15,78.809998,57.707695,0.11883767684657,0.109062766931122
"100","ANF",2009,1035817700,23.290001,41.84,17.110001,24.360001,18.163134,-0.685256290343948,-0.690902149242536
"101","ARW",2005,152781600,24.299999,33.25,21.709999,24.389999,24.389999,NA,NA
"102","ARW",2006,224047500,32.23,36.650002,26,32.580002,32.580002,0.33579349470248,0.33579349470248
"103","ARW",2007,250567200,32,44.330002,32.700001,32.700001,32.700001,0.00368321033252239,0.00368321033252239
"104","ARW",2008,291078800,39.049999,38.799999,11.82,38.799999,38.799999,0.186544275640848,0.186544275640848
