"","date","keyword","mean_hits","max_hits"
"354",2006,"CBT",3.56603773584906,4
"355",2006,"CCH",1.73584905660377,3
"356",2006,"CCRT",0,0
"357",2006,"CELG",1,1
"358",2007,"CBS",41.0769230769231,100
"359",2007,"CBT",3.46153846153846,4
"360",2007,"CCH",1.98076923076923,3
"361",2007,"CCRT",0,0
"362",2007,"CELG",1,1
"363",2008,"CBS",42.4807692307692,88
"364",2008,"CBT",3.71153846153846,4
"365",2008,"CCH",2.01923076923077,4
"366",2008,"CELG",1,1
"367",2009,"CBS",36.8269230769231,95
"368",2009,"CBT",3.59615384615385,4
"369",2009,"CCH",2.19230769230769,4
"370",2009,"CCRT",0,0
"371",2009,"CELG",1,1
"372",2005,"CEN",49.6538461538462,68
"373",2005,"CFC",47.3076923076923,60
"374",2005,"CHL",26.5384615384615,37
"375",2005,"CHRD",0.942307692307692,2
"376",2005,"CHTR",1.38461538461538,4
"377",2006,"CEN",55.8867924528302,74
"378",2006,"CFC",46.7735849056604,57
"379",2006,"CHL",24.6037735849057,35
"380",2006,"CHRD",1.04347826086957,2
"381",2006,"CHTR",1.58490566037736,3
"382",2007,"CEN",64.1153846153846,76
"383",2007,"CFC",55.9615384615385,86
"384",2007,"CHL",27.0576923076923,34
"385",2007,"CHRD",1,2
"386",2007,"CHTR",2.09803921568627,4
"387",2008,"CEN",61.3653846153846,70
"388",2008,"CFC",56.25,100
"389",2008,"CHL",23.8461538461538,30
"390",2008,"CHRD",1,1
"391",2008,"CHTR",1.42307692307692,3
"392",2009,"CEN",57.4230769230769,72
"393",2009,"CFC",49.9807692307692,60
"394",2009,"CHL",19.5,34
"395",2009,"CHRD",0.96,1
"396",2009,"CHTR",1.54545454545455,3
"397",2005,"CI",61.7884615384615,70
"398",2005,"CKFR",0,0
"399",2005,"CKR",1,1
"400",2005,"CKSW",0.0285714285714286,1
"401",2005,"CLGX",0,0
"402",2006,"CI",63.4905660377358,71
"403",2006,"CKFR",0.105263157894737,1
"404",2006,"CKR",1,1
