ticker,,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,industry_translate,ag_frst_fsh,mining,construction,not used,manuf,trn_comm_elc_gas,wholesale,retail,finance_insurance,services,pub_admin,nonclass
ABC,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drugs, proprietaries, and sundries",0,0,0,0,0,0,1,0,0,0,0,0
ABC,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drugs, proprietaries, and sundries",0,0,0,0,0,0,1,0,0,0,0,0
ABC,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drugs, proprietaries, and sundries",0,0,0,0,0,0,1,0,0,0,0,0
ABC,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drugs, proprietaries, and sundries",0,0,0,0,0,0,1,0,0,0,0,0
ABC,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drugs, proprietaries, and sundries",0,0,0,0,0,0,1,0,0,0,0,0
ABI,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analytical instruments,0,0,0,0,1,0,0,0,0,0,0,0
ABI,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analytical instruments,0,0,0,0,1,0,0,0,0,0,0,0
ABI,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analytical instruments,0,0,0,0,1,0,0,0,0,0,0,0
ABI,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analytical instruments,0,0,0,0,1,0,0,0,0,0,0,0
ABI,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analytical instruments,0,0,0,0,1,0,0,0,0,0,0,0
ABT,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmaceutical preparations,0,0,0,0,1,0,0,0,0,0,0,0
ABT,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmaceutical preparations,0,0,0,0,1,0,0,0,0,0,0,0
ABT,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmaceutical preparations,0,0,0,0,1,0,0,0,0,0,0,0
ABT,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmaceutical preparations,0,0,0,0,1,0,0,0,0,0,0,0
ABT,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmaceutical preparations,0,0,0,0,1,0,0,0,0,0,0,0
ACF,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loan brokers,0,0,0,0,0,0,0,0,1,0,0,0
ACF,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loan brokers,0,0,0,0,0,0,0,0,1,0,0,0
ACF,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loan brokers,0,0,0,0,0,0,0,0,1,0,0,0
ACF,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
ACF,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
ACS,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
ACS,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
ACS,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
ACS,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
ACS,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
ADCT,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telephone and telegraph apparatus,0,0,0,0,1,0,0,0,0,0,0,0
ADCT,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telephone and telegraph apparatus,0,0,0,0,1,0,0,0,0,0,0,0
ADCT,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telephone and telegraph apparatus,0,0,0,0,1,0,0,0,0,0,0,0
ADCT,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telephone and telegraph apparatus,0,0,0,0,1,0,0,0,0,0,0,0
ADCT,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telephone and telegraph apparatus,0,0,0,0,1,0,0,0,0,0,0,0
ADP,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
ADP,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
ADP,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
ADP,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
ADP,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
ADVBQ,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
ADVBQ,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
ADVBQ,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
ADVBQ,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
ADVBQ,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
ADVS,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepackaged software,0,0,0,0,0,0,0,0,0,1,0,0
ADVS,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepackaged software,0,0,0,0,0,0,0,0,0,1,0,0
ADVS,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepackaged software,0,0,0,0,0,0,0,0,0,1,0,0
ADVS,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepackaged software,0,0,0,0,0,0,0,0,0,1,0,0
ADVS,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepackaged software,0,0,0,0,0,0,0,0,0,1,0,0
AEA,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
AEA,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
AEA,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
AEA,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
AEA,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal credit institutions,0,0,0,0,0,0,0,0,1,0,0,0
AEO,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Family clothing stores,0,0,0,0,0,0,0,1,0,0,0,0
AEO,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Family clothing stores,0,0,0,0,0,0,0,1,0,0,0,0
AEO,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Family clothing stores,0,0,0,0,0,0,0,1,0,0,0,0
