gvkey,ticker,compname,year,sic4,salesmillions,employees,breach,breachtype
63643,ANF,ABERCROMBIE & FITCH  -CL A,2008,5651,2831.5601,83,0,
63643,ANF,ABERCROMBIE & FITCH  -CL A,2009,5651,2351.0901,80,0,
63643,ANF,ABERCROMBIE & FITCH  -CL A,2010,5651,,85,0,
1773,ARW,"Arrow Electronics, Inc.",2005,5065,9843.7002,11.4,0,
1773,ARW,"Arrow Electronics, Inc.",2006,5065,11597.12,12,0,
1773,ARW,"Arrow Electronics, Inc.",2007,5065,13278.42,12.6,0,
1773,ARW,"Arrow Electronics, Inc.",2008,5065,13405.69,12.7,0,
1773,ARW,"Arrow Electronics, Inc.",2009,5065,11788.36,11.3,0,
1773,ARW,"Arrow Electronics, Inc.",2010,5065,18744.68,12.7,1,StolenLaptop
99990001,ASF,"Administaff, Inc.",2005,7363,,,0,
99990001,ASF,"Administaff, Inc.",2006,7363,,,0,
99990001,ASF,"Administaff, Inc.",2007,7363,,,1,StolenLaptop
99990001,ASF,"Administaff, Inc.",2008,7363,,,0,
99990001,ASF,"Administaff, Inc.",2009,7363,,,0,
99990001,ASF,"Administaff, Inc.",2010,7363,,,0,
162346,AT,ALLTEL Corporation,2005,4812,31.209999,,0,
162346,AT,ALLTEL Corporation,2006,4812,42.700001,,1,Disposal_Document
162346,AT,ALLTEL Corporation,2007,4812,49.57,,0,
162346,AT,ALLTEL Corporation,2008,4812,55.720001,,0,
162346,AT,ALLTEL Corporation,2009,4812,59.799999,,0,
162346,AT,ALLTEL Corporation,2010,4812,194.66,0.013,0,
100245,ATE,ADVANTEST CORP,2005,3825,1905.76,3.595,0,
100245,ATE,ADVANTEST CORP,2006,3825,1700.46,3.6370001,0,
100245,ATE,ADVANTEST CORP,2007,3825,1520.49,3.6659999,0,
100245,ATE,ADVANTEST CORP,2008,3825,618.33002,3.187,0,
100245,ATE,ADVANTEST CORP,2009,3825,457.48001,3.151,0,
100245,ATE,ADVANTEST CORP,2010,3825,1127,3.1630001,0,
155280,ATSG,AIR TRANSPORT SERVICES GROUP,2005,4513,1291.1801,11.5,0,
155280,ATSG,AIR TRANSPORT SERVICES GROUP,2006,4513,1076.5601,9.6999998,0,
155280,ATSG,AIR TRANSPORT SERVICES GROUP,2007,4513,975.65002,10.15,0,
155280,ATSG,AIR TRANSPORT SERVICES GROUP,2008,4513,1288.3,5.6199999,0,
155280,ATSG,AIR TRANSPORT SERVICES GROUP,2009,4513,661.09003,2.02,0,
155280,ATSG,AIR TRANSPORT SERVICES GROUP,2010,4513,667.40002,2.0650001,0,
15545,AV,Avaya Inc.,2005,3663,4902,,0,
15545,AV,Avaya Inc.,2006,3663,5148,,1,Stolen computer
15545,AV,Avaya Inc.,2007,3663,5536,,0,
15545,AV,Avaya Inc.,2008,3663,4923,54.757999,0,
15545,AV,Avaya Inc.,2009,3663,4950,46.327,0,
15545,AV,Avaya Inc.,2010,3663,5060,45.141998,0,
1919,AVT,AVNET INC,2005,5065,9757.8398,9.8000002,0,
1919,AVT,AVNET INC,2006,5065,12174.97,10.9,0,
